feature,importance
Fed_Growth,0.17158282
M2,0.13236511
UNRATE,0.08601502
VIX_realized_vol,0.085463315
Fed_Growth_L1,0.06177507
Rate_Slope,0.05670463
INDPRO,0.049752135
GS10,0.04781177
CPIAUCSL,0.04774657
FedFunds,0.045949988
T5YIFR,0.04294962
VIX_max,0.03546804
Fed_Securities,0.03202391
INDPRO_Growth,0.02833792
BAA10Y,0.023032283
M2_Growth,0.021032602
Rate_Slope_L1,0.012573052
CPI_Growth,0.011708719
VIX_min,0.0071001253
INDPRO_realized_vol,0.00060738437
VIXCLS,0.0
M2_realized_vol,0.0
M2_Growth_L1,0.0
INDPRO_Growth_L1,0.0
VIX_High,0.0
High_Spread,0.0
High_InflExp,0.0
